,Dataset,Selective,Max Depth,Estimators,Training Accuracy,Testing Accuracy
457,Month_18,True,6,50,1.0,0.8791208791208791
458,Month_18,True,6,75,1.0,0.8681318681318682
459,Month_18,True,6,100,1.0,0.8571428571428571
460,Month_18,True,6,150,1.0,0.8571428571428571
461,Month_18,True,6,200,1.0,0.8571428571428571
462,Month_18,True,7,25,1.0,0.8461538461538461
463,Month_18,True,7,50,1.0,0.8461538461538461
464,Month_18,True,7,75,1.0,0.8681318681318682
465,Month_18,True,7,100,1.0,0.8681318681318682
466,Month_18,True,7,150,1.0,0.8461538461538461
467,Month_18,True,7,200,1.0,0.8461538461538461
468,Month_18,True,8,25,1.0,0.8351648351648352
469,Month_18,True,8,50,1.0,0.8681318681318682
470,Month_18,True,8,75,1.0,0.8571428571428571
471,Month_18,True,8,100,1.0,0.8571428571428571
472,Month_18,True,8,150,1.0,0.8681318681318682
473,Month_18,True,8,200,1.0,0.8461538461538461
474,Month_18,True,9,25,0.9906542056074766,0.7582417582417582
475,Month_18,True,9,50,0.9906542056074766,0.7362637362637363
476,Month_18,True,9,75,0.9953271028037384,0.7362637362637363
477,Month_18,True,9,100,0.9906542056074766,0.7472527472527473
478,Month_18,True,9,150,0.9953271028037384,0.7472527472527473
479,Month_18,True,9,200,0.9906542056074766,0.7582417582417582
480,Month_18,True,10,25,0.985981308411215,0.8901098901098901
481,Month_18,True,10,50,0.985981308411215,0.8901098901098901
482,Month_18,True,10,75,0.985981308411215,0.8681318681318682
483,Month_18,True,10,100,0.985981308411215,0.8901098901098901
484,Month_18,True,10,150,0.985981308411215,0.8681318681318682
485,Month_18,True,10,200,0.985981308411215,0.8901098901098901
486,Month_24,True,2,25,0.8891752577319587,0.8313253012048193
487,Month_24,True,2,50,0.8969072164948454,0.8132530120481928
488,Month_24,True,2,75,0.8917525773195877,0.8132530120481928
489,Month_24,True,2,100,0.8969072164948454,0.8132530120481928
490,Month_24,True,2,150,0.8969072164948454,0.8132530120481928
491,Month_24,True,2,200,0.8969072164948454,0.8132530120481928
492,Month_24,True,3,25,0.9871134020618557,0.8192771084337349
493,Month_24,True,3,50,1.0,0.8012048192771084
494,Month_24,True,3,75,1.0,0.8373493975903614
495,Month_24,True,3,100,1.0,0.8313253012048193
496,Month_24,True,3,150,1.0,0.8072289156626506
497,Month_24,True,3,200,1.0,0.8072289156626506
498,Month_24,True,4,25,1.0,0.7951807228915663
